Timestamp,Account,DateActivity,Task,Quantity,ManHours,AccountID
1/3/13 13:41,Rad Booty Apparel,1/2/13,Receive GOH,8100,10.5,10301010
1/3/13 13:41,Rad Booty Apparel,1/2/13,Verify Tags,8100,29.5,10301010
1/3/13 13:41,Rad Booty Apparel,1/2/13,Put Away GOH,6399,4,10301010
1/3/13 13:41,Rad Booty Apparel,1/2/13,Bulk Pick GOH,3600,8,10301010
1/3/13 13:41,Rad Booty Apparel,1/2/13,Pick GOH,4139,18.25,10301010
1/3/13 13:41,Rad Booty Apparel,1/2/13,Pack GOH,1211,90.5,10301010
1/3/13 13:42,Rad Booty Apparel,1/2/13,Ship Cartons - UPS and Fed Ex,200,5,10301010
1/3/13 13:42,Rad Booty Apparel,1/2/13,Ship Cartons - LTL,1061,10,10301010
1/4/13 12:25,Rad Booty Apparel,1/3/13,Containers Received,2,0,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Receive GOH,6500,9,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Verify Tags,6500,24.75,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Put Away GOH,6421,4,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Bulk Pick GOH,3680,8,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Pick GOH,3450,15.5,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Pack GOH,800,54,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Ship Cartons - UPS and Fed Ex,175,4,10301010
1/4/13 12:26,Rad Booty Apparel,1/3/13,Ship Cartons - LTL,469,3,10301010
1/7/13 12:35,Rad Booty Apparel,1/4/13,Containers Received,1,0,10301010
1/7/13 12:35,Rad Booty Apparel,1/4/13,Receive GOH,3248,4,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Verify Tags,3248,12,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Put Away GOH,4800,3,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Bulk Pick GOH,1840,4,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Pick GOH,2300,10.5,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Pack GOH,870,58,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Ship Cartons - UPS and Fed Ex,70,2,10301010
1/7/13 12:36,Rad Booty Apparel,1/4/13,Ship Cartons - LTL,674,5.253,10301010
1/8/13 12:46,Rad Booty Apparel,1/7/13,Containers Received,2,0,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Receive GOH,8952,11.5,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Verify Tags,8952,32.5,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Bulk Pick GOH,3345,7,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Pick GOH,3055,13.25,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Pack GOH,583,40,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Ship Cartons - UPS and Fed Ex,161,4,10301010
1/8/13 12:47,Rad Booty Apparel,1/7/13,Ship Cartons - LTL,402,3,10301010
1/9/13 11:24,Rad Booty Apparel,1/8/13,Containers Received,2,0,10301010
1/9/13 11:24,Rad Booty Apparel,1/8/13,Receive GOH,6750,9,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Verify Tags,6750,24,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Bulk Pick GOH,3255,7,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Pick GOH,3460,15,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Pack GOH,331,22,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Ship Cartons - UPS and Fed Ex,189,4,10301010
1/9/13 11:25,Rad Booty Apparel,1/8/13,Ship Cartons - LTL,221,1,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Containers Received,2,0,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Receive GOH,8100,10,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Verify Tags,8100,29,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Bulk Pick GOH,3226,7,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Pick GOH,3220,14,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Pack GOH,740,46.5,10301010
1/10/13 11:50,Rad Booty Apparel,1/9/13,Ship Cartons - UPS and Fed Ex,323,7,10301010
1/10/13 11:51,Rad Booty Apparel,1/9/13,Ship Cartons - LTL,141,1,10301010
